基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费
620003,金元顺安丰利债券,JYSAFLZQ,债券型,4.3676,-0.2608,-0.3475,2.2282,2.5022,7.9022,12.8622,14.1220,24.4479,,1,2020-08-14,1.1470,0.2622,1,0.06%,100,1,0.60%,0.06%
001139,华安新动力灵活配置混合,HAXDLLHPZHH,混合型,4.4167,0.0799,0.24,2.2023,4.4167,6.2765,11.3778,15.6971,21.4147,,1,2020-08-14,1.2530,0.1599,1,0.15%,100,1,1.50%,0.15%
020034,国泰民安增利债券C,GTMAZLZQC,债券型,3.3088,0.1979,0.2701,2.2022,2.8725,4.5077,8.3797,10.6514,19.1794,,1,2020-08-14,1.1138,0.1979,1,0.00%,100,0,0.00%,0.00%
008792,招商安华债券C,ZSAHZQC,债券型,,0.2945,0.4424,2.1904,,,,,,,1,2020-08-14,1.0217,0.1470,1,0.00%,100,0,,
001289,银华汇利灵活配置混合A,YHHLLHPZHHA,混合型,5.7971,0.1871,2.2930,2.1628,4.4893,8.7339,15.6228,23.5385,49.2565,,1,2020-08-14,1.6060,0.1247,1,0.06%,100,1,0.60%,0.06%
003197,光大保德信安诚债券A,GDBDXACZQA,债券型,3.6585,-0.3587,-0.3935,2.1616,1.3976,7.5339,12.8721,19.5216,,,1,2020-08-14,1.1390,0.2464,1,0.08%,100,1,0.80%,0.08%
007402,浦银颐和稳健养老一年(FOF)C,PYYHWJYLYNFOFC,混合-FOF,3.9487,-0.3813,0,2.1503,3.1790,,,,,,3,2020-08-12,1.0451,-0.3908,0,0.00%,100,0,,
008045,博远增强回报债券C,BYZQHBZQC,债券型,3.1557,-0.6834,-2.3562,2.1481,2.0672,,,,,,1,2020-08-14,1.0319,0.3013,1,0.00%,100,0,,
860005,光大阳光添利债券A,GDYGTLZQA,债券型,4.5772,0.1924,0.6722,2.1304,2.7624,,,,,,1,2020-08-14,2.2916,0.2230,0,0.80%,100,99,0.80%,0.80%
161902,万家增强收益债券,WJZQSYZQ,债券型,4.5125,-0.2060,0.2151,2.1160,1.9699,8.2484,10.8640,10.3087,12.5490,,1,2020-08-14,1.2113,0.24,1,0.00%,100,0,0.00%,0.00%
